artist_id,Name,Type,Popularity,Genres,Followers
7CajNmpbOovFoOoasH2HaY,Calvin Harris,artist,84,"dance pop, edm, electro house, house, pop, progressive house, uk dance",23558038
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,artist,80,"melodic rap, rap, trap",7618267
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,artist,78,pop,5964824
6t1gpxYbY8OlLA7D2RiikQ,Loud Luxury,artist,69,"edm, pop dance",640678
7d3WFRME3vBY2cgoP38RDo,Lil Skies,artist,66,melodic rap,4995438
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,artist,87,"canadian pop, pop",73691634
711MCceyCBcFnzjGY4Q7Un,AC/DC,artist,79,"australian rock, hard rock, rock",27070580
718COspgdWOnwOFpJHRZHS,Luke Combs,artist,83,"contemporary country, country",9003887
2ysnwxxNtSgbb9t1m2Ur4j,George Ezra,artist,72,"folk-pop, neo-singer-songwriter",4093107
0c173mlxpT3dSFRgMO8XPh,Big Sean,artist,74,"detroit hip hop, hip hop, pop rap, r&b, rap, southern hip hop, trap",11022480
1vCWHaC5f2uS3yhpwWbIA6,Avicii,artist,79,"edm, pop, pop dance",23117611
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,artist,78,"memphis hip hop, rap",6548793
1XLWox9w1Yvbodui0SRhUQ,StaySolidRocky,artist,57,melodic rap,172019
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,artist,86,"permanent wave, pop",46336102
4IWBUUAFIplrNtaOHcJPRM,James Arthur,artist,80,"pop, talent show, uk pop",12841346
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,artist,86,"hip pop, pop, queens hip hop, rap",29064669
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,artist,94,"canadian contemporary r&b, canadian pop, pop",69417099
0vR2qb8m9WHeZ5ByCbimq2,Reik,artist,76,"latin arena pop, latin pop, mexican pop, reggaeton",8446495
2FwJwEswyIUAljqgjNSHgP,Snakehips,artist,61,"electropop, uk dance",356057
2ayNSoKPCRAfjp6hQ76hRu,Nacho,artist,61,"latin pop, pop venezolano, reggaeton, trap latino, urbano latino",5354211
5pVRwX5ZQR7hfJ18w8ZYkl,Ufo361,artist,69,"german cloud rap, german hip hop",1920746
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,artist,94,"hip hop, rap, slap house",23519791
0NnUMWDCDi1snuMja6IdxH,Harry Nach,artist,61,"trap chileno, urbano chileno",281660
4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,artist,69,pop,5498992
